month,year,usage,usage_normal,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester
1,2556,12541,0.0287,1641.00,0.0106,1,0.0000,28,0.4286,1
2,2556,12923,0.0297,1641.00,0.0106,1,0.0000,30,0.7143,1
3,2556,13183,0.0303,1641.00,0.0106,1,0.0000,31,0.8571,0
4,2556,11517,0.0263,1641.00,0.0106,1,0.0000,32,1.0000,0
5,2556,13752,0.0316,1641.00,0.0106,1,0.0000,32,1.0000,0
6,2556,12583,0.0288,1641.00,0.0106,1,0.0000,30,0.7143,1
7,2556,12659,0.0290,1641.00,0.0106,1,0.0000,30,0.7143,1
8,2556,13910,0.0320,1641.00,0.0106,1,0.0000,30,0.7143,1
9,2556,12340,0.0283,1641.00,0.0106,1,0.0000,29,0.5714,1
10,2556,12764,0.0293,1641.00,0.0106,1,0.0000,29,0.5714,0
11,2556,13013,0.0299,1641.00,0.0106,1,0.0000,30,0.7143,1
12,2556,10774,0.0245,1641.00,0.0106,1,0.0000,25,0.0000,1
1,2557,11038,0.0251,1641.00,0.0106,1,0.0000,25,0.0000,1
2,2557,10018,0.0227,1641.00,0.0106,1,0.0000,28,0.4286,1
3,2557,13685,0.0315,1641.00,0.0106,1,0.0000,30,0.7143,1
4,2557,11254,0.0257,1641.00,0.0106,1,0.0000,31,0.8571,1
5,2557,11369,0.0259,1641.00,0.0106,1,0.0000,31,0.8571,1
6,2557,12010,0.0275,1641.00,0.0106,1,0.0000,30,0.7143,0
7,2557,12634,0.0290,1641.00,0.0106,1,0.0000,30,0.7143,0
8,2557,12419,0.0285,1641.00,0.0106,1,0.0000,29,0.5714,1
9,2557,12534,0.0287,1641.00,0.0106,1,0.0000,29,0.5714,1
10,2557,11539,0.0263,1641.00,0.0106,1,0.0000,29,0.5714,1
11,2557,11902,0.0272,1641.00,0.0106,1,0.0000,29,0.5714,1
12,2557,11103,0.0253,1641.00,0.0106,1,0.0000,27,0.2857,1
1,2558,11221,0.0256,1641.00,0.0106,1,0.0000,26,0.1429,1
2,2558,12438,0.0285,1641.00,0.0106,1,0.0000,28,0.4286,1
3,2558,12242,0.0280,1641.00,0.0106,1,0.0000,30,0.7143,1
4,2558,11385,0.0260,1641.00,0.0106,1,0.0000,30,0.7143,1
5,2558,11529,0.0263,1641.00,0.0106,1,0.0000,31,0.8571,1
6,2558,10707,0.0244,1641.00,0.0106,1,0.0000,30,0.7143,0
7,2558,11945,0.0273,1641.00,0.0106,1,0.0000,30,0.7143,0
8,2558,11414,0.0260,1641.00,0.0106,1,0.0000,30,0.7143,1
9,2558,11027,0.0251,1641.00,0.0106,1,0.0000,29,0.5714,1
10,2558,11543,0.0264,1641.00,0.0106,1,0.0000,29,0.5714,1
11,2558,11120,0.0253,1641.00,0.0106,1,0.0000,29,0.5714,1
12,2558,11208,0.0256,1641.00,0.0106,1,0.0000,28,0.4286,1
1,2559,10820,0.0246,1641.00,0.0106,1,0.0000,27,0.2857,1
2,2559,11697,0.0267,1641.00,0.0106,1,0.0000,28,0.4286,1
3,2559,12243,0.0280,1641.00,0.0106,1,0.0000,31,0.8571,1
4,2559,11904,0.0272,1641.00,0.0106,1,0.0000,32,1.0000,1
5,2559,11144,0.0254,1641.00,0.0106,1,0.0000,32,1.0000,1
6,2559,11554,0.0264,1641.00,0.0106,1,0.0000,29,0.5714,0
7,2559,10896,0.0248,1641.00,0.0106,1,0.0000,29,0.5714,0
8,2559,11270,0.0257,1641.00,0.0106,1,0.0000,30,0.7143,1
9,2559,11049,0.0252,1641.00,0.0106,1,0.0000,29,0.5714,1
10,2559,12448,0.0285,1641.00,0.0106,1,0.0000,29,0.5714,1
11,2559,11748,0.0268,1641.00,0.0106,1,0.0000,29,0.5714,1
12,2559,11260,0.0257,1641.00,0.0106,1,0.0000,27,0.2857,1
1,2560,11107,0.0253,1641.00,0.0106,1,0.0000,27,0.2857,1
2,2560,10803,0.0246,1641.00,0.0106,1,0.0000,28,0.4286,1
3,2560,12768,0.0293,1641.00,0.0106,1,0.0000,30,0.7143,1
4,2560,10889,0.0248,1641.00,0.0106,1,0.0000,31,0.8571,1
5,2560,11427,0.0261,1641.00,0.0106,1,0.0000,30,0.7143,1
6,2560,11109,0.0253,1641.00,0.0106,1,0.0000,29,0.5714,0
7,2560,11163,0.0254,1641.00,0.0106,1,0.0000,29,0.5714,0
8,2560,11957,0.0273,1641.00,0.0106,1,0.0000,29,0.5714,1
9,2560,11125,0.0254,1641.00,0.0106,1,0.0000,29,0.5714,1
10,2560,10251,0.0233,1641.00,0.0106,1,0.0000,28,0.4286,1
11,2560,11072,0.0252,1641.00,0.0106,1,0.0000,28,0.4286,1
12,2560,10178,0.0231,1641.00,0.0106,1,0.0000,26,0.1429,1
1,2561,9975,0.0226,1641.00,0.0106,1,0.0000,27,0.2857,1
2,2561,9817,0.0222,1641.00,0.0106,1,0.0000,27,0.2857,1
3,2561,11304,0.0258,1641.00,0.0106,1,0.0000,29,0.5714,1
4,2561,9964,0.0226,1641.00,0.0106,1,0.0000,29,0.5714,1
1,2556,146000,0.3484,13621.03,0.2743,11,1.0000,28,0.4286,1
2,2556,134000,0.3197,13621.03,0.2743,11,1.0000,30,0.7143,1
3,2556,166000,0.3963,13621.03,0.2743,11,1.0000,31,0.8571,0
4,2556,122000,0.2910,13621.03,0.2743,11,1.0000,32,1.0000,0
5,2556,154000,0.3676,13621.03,0.2743,11,1.0000,32,1.0000,0
6,2556,170000,0.4059,13621.03,0.2743,11,1.0000,30,0.7143,1
7,2556,148000,0.3532,13621.03,0.2743,11,1.0000,30,0.7143,1
8,2556,165000,0.3940,13621.03,0.2743,11,1.0000,30,0.7143,1
9,2556,143000,0.3413,13621.03,0.2743,11,1.0000,29,0.5714,1
10,2556,155000,0.3700,13621.03,0.2743,11,1.0000,29,0.5714,0
11,2556,140000,0.3341,13621.03,0.2743,11,1.0000,30,0.7143,1
12,2556,106000,0.2526,13621.03,0.2743,11,1.0000,25,0.0000,1
1,2557,119000,0.2838,13621.03,0.2743,11,1.0000,25,0.0000,1
2,2557,116000,0.2766,13621.03,0.2743,11,1.0000,28,0.4286,1
3,2557,141000,0.3365,13621.03,0.2743,11,1.0000,30,0.7143,1
4,2557,128000,0.3053,13621.03,0.2743,11,1.0000,31,0.8571,1
5,2557,137000,0.3269,13621.03,0.2743,11,1.0000,31,0.8571,1
6,2557,139000,0.3317,13621.03,0.2743,11,1.0000,30,0.7143,0
7,2557,139000,0.3317,13621.03,0.2743,11,1.0000,30,0.7143,0
8,2557,140000,0.3341,13621.03,0.2743,11,1.0000,29,0.5714,1
9,2557,142000,0.3389,13621.03,0.2743,11,1.0000,29,0.5714,1
10,2557,140000,0.3341,13621.03,0.2743,11,1.0000,29,0.5714,1
11,2557,140000,0.3341,13621.03,0.2743,11,1.0000,29,0.5714,1
12,2557,120000,0.2862,13621.03,0.2743,11,1.0000,27,0.2857,1
1,2558,126000,0.3005,13621.03,0.2743,11,1.0000,26,0.1429,1
2,2558,120000,0.2862,13621.03,0.2743,11,1.0000,28,0.4286,1
3,2558,134000,0.3197,13621.03,0.2743,11,1.0000,30,0.7143,1
4,2558,127000,0.3029,13621.03,0.2743,11,1.0000,30,0.7143,1
5,2558,142000,0.3389,13621.03,0.2743,11,1.0000,31,0.8571,1
6,2558,141000,0.3365,13621.03,0.2743,11,1.0000,30,0.7143,0
7,2558,160000,0.3820,13621.03,0.2743,11,1.0000,30,0.7143,0
8,2558,142000,0.3389,13621.03,0.2743,11,1.0000,30,0.7143,1
9,2558,144000,0.3436,13621.03,0.2743,11,1.0000,29,0.5714,1
10,2558,146000,0.3484,13621.03,0.2743,11,1.0000,29,0.5714,1
11,2558,145000,0.3460,13621.03,0.2743,11,1.0000,29,0.5714,1
12,2558,127000,0.3029,13621.03,0.2743,11,1.0000,28,0.4286,1
1,2559,128000,0.3053,13621.03,0.2743,11,1.0000,27,0.2857,1
2,2559,115000,0.2742,13621.03,0.2743,11,1.0000,28,0.4286,1
3,2559,146000,0.3484,13621.03,0.2743,11,1.0000,31,0.8571,1
4,2559,125000,0.2981,13621.03,0.2743,11,1.0000,32,1.0000,1
5,2559,122000,0.2910,13621.03,0.2743,11,1.0000,32,1.0000,1
6,2559,149000,0.3556,13621.03,0.2743,11,1.0000,29,0.5714,0
7,2559,135000,0.3221,13621.03,0.2743,11,1.0000,29,0.5714,0
8,2559,148000,0.3532,13621.03,0.2743,11,1.0000,30,0.7143,1
9,2559,146000,0.3484,13621.03,0.2743,11,1.0000,29,0.5714,1
10,2559,152000,0.3628,13621.03,0.2743,11,1.0000,29,0.5714,1
11,2559,140000,0.3341,13621.03,0.2743,11,1.0000,29,0.5714,1
12,2559,128000,0.3053,13621.03,0.2743,11,1.0000,27,0.2857,1
1,2560,128000,0.3053,13621.03,0.2743,11,1.0000,27,0.2857,1
2,2560,123000,0.2933,13621.03,0.2743,11,1.0000,28,0.4286,1
3,2560,144000,0.3436,13621.03,0.2743,11,1.0000,30,0.7143,1
4,2560,117000,0.2790,13621.03,0.2743,11,1.0000,31,0.8571,1
5,2560,133000,0.3173,13621.03,0.2743,11,1.0000,30,0.7143,1
6,2560,142000,0.3389,13621.03,0.2743,11,1.0000,29,0.5714,0
7,2560,134000,0.3197,13621.03,0.2743,11,1.0000,29,0.5714,0
8,2560,145000,0.3460,13621.03,0.2743,11,1.0000,29,0.5714,1
9,2560,140000,0.3341,13621.03,0.2743,11,1.0000,29,0.5714,1
10,2560,118000,0.2814,13621.03,0.2743,11,1.0000,28,0.4286,1
11,2560,134000,0.3197,13621.03,0.2743,11,1.0000,28,0.4286,1
12,2560,122000,0.2910,13621.03,0.2743,11,1.0000,26,0.1429,1
1,2561,117000,0.2790,13621.03,0.2743,11,1.0000,27,0.2857,1
2,2561,123000,0.2933,13621.03,0.2743,11,1.0000,27,0.2857,1
3,2561,140000,0.3341,13621.03,0.2743,11,1.0000,29,0.5714,1
4,2561,109000,0.2598,13621.03,0.2743,11,1.0000,29,0.5714,1
9,2561,137000,0.3269,13621.03,0.2743,11,1.0000,29,0.5714,1
9,2558,20000,0.0466,2714.21,0.0343,3,0.2000,29,0.5714,1
10,2558,21000,0.0490,2714.21,0.0343,3,0.2000,29,0.5714,1
11,2558,20000,0.0466,2714.21,0.0343,3,0.2000,29,0.5714,1
12,2558,19000,0.0442,2714.21,0.0343,3,0.2000,28,0.4286,1
1,2559,18000,0.0418,2714.21,0.0343,3,0.2000,27,0.2857,1
2,2559,16000,0.0370,2714.21,0.0343,3,0.2000,28,0.4286,1
3,2559,20000,0.0466,2714.21,0.0343,3,0.2000,31,0.8571,1
4,2559,20000,0.0466,2714.21,0.0343,3,0.2000,32,1.0000,1
5,2559,20000,0.0466,2714.21,0.0343,3,0.2000,32,1.0000,1
6,2559,22000,0.0514,2714.21,0.0343,3,0.2000,29,0.5714,0
7,2559,18000,0.0418,2714.21,0.0343,3,0.2000,29,0.5714,0
8,2559,19000,0.0442,2714.21,0.0343,3,0.2000,30,0.7143,1
9,2559,22000,0.0514,2714.21,0.0343,3,0.2000,29,0.5714,1
10,2559,18000,0.0418,2714.21,0.0343,3,0.2000,29,0.5714,1
11,2559,20000,0.0466,2714.21,0.0343,3,0.2000,29,0.5714,1
12,2559,16000,0.0370,2714.21,0.0343,3,0.2000,27,0.2857,1
1,2560,16000,0.0370,2714.21,0.0343,3,0.2000,27,0.2857,1
2,2560,16000,0.0370,2714.21,0.0343,3,0.2000,28,0.4286,1
3,2560,18000,0.0418,2714.21,0.0343,3,0.2000,30,0.7143,1
4,2560,17000,0.0394,2714.21,0.0343,3,0.2000,31,0.8571,1
5,2560,17000,0.0394,2714.21,0.0343,3,0.2000,30,0.7143,1
8,2560,18000,0.0418,2714.21,0.0343,3,0.2000,29,0.5714,1
9,2560,21000,0.0490,2714.21,0.0343,3,0.2000,29,0.5714,1
10,2560,17000,0.0394,2714.21,0.0343,3,0.2000,28,0.4286,1
11,2560,18000,0.0418,2714.21,0.0343,3,0.2000,28,0.4286,1
12,2560,18000,0.0418,2714.21,0.0343,3,0.2000,26,0.1429,1
1,2561,13000,0.0298,2714.21,0.0343,3,0.2000,27,0.2857,1
2,2561,17000,0.0394,2714.21,0.0343,3,0.2000,27,0.2857,1
3,2561,20000,0.0466,2714.21,0.0343,3,0.2000,29,0.5714,1
4,2561,18000,0.0418,2714.21,0.0343,3,0.2000,29,0.5714,1
5,2561,18000,0.0418,2714.21,0.0343,3,0.2000,29,0.5714,1
6,2561,19000,0.0442,2714.21,0.0343,3,0.2000,30,0.7143,0
7,2561,18000,0.0418,2714.21,0.0343,3,0.2000,29,0.5714,0
8,2561,17000,0.0394,2714.21,0.0343,3,0.2000,29,0.5714,1
9,2558,353000,0.8443,12723.74,0.2545,11,1.0000,29,0.5714,1
10,2558,399000,0.9545,12723.74,0.2545,11,1.0000,29,0.5714,1
11,2558,400000,0.9569,12723.74,0.2545,11,1.0000,29,0.5714,1
12,2558,387000,0.9257,12723.74,0.2545,11,1.0000,28,0.4286,1
1,2559,352000,0.8419,12723.74,0.2545,11,1.0000,27,0.2857,1
2,2559,363000,0.8683,12723.74,0.2545,11,1.0000,28,0.4286,1
3,2559,396000,0.9473,12723.74,0.2545,11,1.0000,31,0.8571,1
4,2559,409000,0.9784,12723.74,0.2545,11,1.0000,32,1.0000,1
5,2559,418000,1.0000,12723.74,0.2545,11,1.0000,32,1.0000,1
6,2559,381000,0.9114,12723.74,0.2545,11,1.0000,29,0.5714,0
7,2559,386000,0.9233,12723.74,0.2545,11,1.0000,29,0.5714,0
8,2559,391000,0.9353,12723.74,0.2545,11,1.0000,30,0.7143,1
9,2559,350000,0.8371,12723.74,0.2545,11,1.0000,29,0.5714,1
10,2559,357000,0.8539,12723.74,0.2545,11,1.0000,29,0.5714,1
11,2559,357000,0.8539,12723.74,0.2545,11,1.0000,29,0.5714,1
12,2559,325000,0.7772,12723.74,0.2545,11,1.0000,27,0.2857,1
1,2560,314000,0.7509,12723.74,0.2545,11,1.0000,27,0.2857,1
2,2560,304000,0.7269,12723.74,0.2545,11,1.0000,28,0.4286,1
3,2560,391000,0.9353,12723.74,0.2545,11,1.0000,30,0.7143,1
4,2560,342000,0.8179,12723.74,0.2545,11,1.0000,31,0.8571,1
5,2560,369000,0.8826,12723.74,0.2545,11,1.0000,30,0.7143,1
7,2560,355000,0.8491,12723.74,0.2545,11,1.0000,29,0.5714,0
8,2560,362000,0.8659,12723.74,0.2545,11,1.0000,29,0.5714,1
9,2560,346000,0.8275,12723.74,0.2545,11,1.0000,29,0.5714,1
10,2560,335000,0.8012,12723.74,0.2545,11,1.0000,28,0.4286,1
11,2560,321000,0.7676,12723.74,0.2545,11,1.0000,28,0.4286,1
12,2560,317000,0.7581,12723.74,0.2545,11,1.0000,26,0.1429,1
1,2561,330000,0.7892,12723.74,0.2545,11,1.0000,27,0.2857,1
2,2561,332000,0.7940,12723.74,0.2545,11,1.0000,27,0.2857,1
3,2561,402000,0.9617,12723.74,0.2545,11,1.0000,29,0.5714,1
4,2561,377000,0.9018,12723.74,0.2545,11,1.0000,29,0.5714,1
5,2561,392000,0.9377,12723.74,0.2545,11,1.0000,29,0.5714,1
6,2561,394000,0.9425,12723.74,0.2545,11,1.0000,30,0.7143,0
7,2561,382000,0.9138,12723.74,0.2545,11,1.0000,29,0.5714,0
8,2561,361000,0.8635,12723.74,0.2545,11,1.0000,29,0.5714,1
1,2556,31280,0.0736,1567.36,0.0090,2,0.1000,28,0.4286,1
2,2556,36320,0.0857,1567.36,0.0090,2,0.1000,30,0.7143,1
3,2556,26080,0.0612,1567.36,0.0090,2,0.1000,31,0.8571,0
4,2556,32720,0.0771,1567.36,0.0090,2,0.1000,32,1.0000,0
5,2556,34560,0.0815,1567.36,0.0090,2,0.1000,32,1.0000,0
6,2556,36320,0.0857,1567.36,0.0090,2,0.1000,30,0.7143,1
7,2556,36320,0.0857,1567.36,0.0090,2,0.1000,30,0.7143,1
8,2556,5680,0.0123,1567.36,0.0090,2,0.1000,30,0.7143,1
9,2556,22000,0.0514,1567.36,0.0090,2,0.1000,29,0.5714,1
10,2556,24160,0.0566,1567.36,0.0090,2,0.1000,29,0.5714,0
11,2556,11360,0.0259,1567.36,0.0090,2,0.1000,30,0.7143,1
12,2556,15040,0.0347,1567.36,0.0090,2,0.1000,25,0.0000,1
1,2557,19760,0.0460,1567.36,0.0090,2,0.1000,25,0.0000,1
2,2557,24960,0.0585,1567.36,0.0090,2,0.1000,28,0.4286,1
3,2557,30000,0.0706,1567.36,0.0090,2,0.1000,30,0.7143,1
4,2557,31760,0.0748,1567.36,0.0090,2,0.1000,31,0.8571,1
5,2557,23760,0.0556,1567.36,0.0090,2,0.1000,31,0.8571,1
6,2557,28720,0.0675,1567.36,0.0090,2,0.1000,30,0.7143,0
7,2557,36480,0.0861,1567.36,0.0090,2,0.1000,30,0.7143,0
8,2557,31120,0.0733,1567.36,0.0090,2,0.1000,29,0.5714,1
9,2557,32676,0.0770,1567.36,0.0090,2,0.1000,29,0.5714,1
10,2557,24124,0.0565,1567.36,0.0090,2,0.1000,29,0.5714,1
11,2557,30240,0.0711,1567.36,0.0090,2,0.1000,29,0.5714,1
12,2557,29280,0.0688,1567.36,0.0090,2,0.1000,27,0.2857,1
1,2558,27440,0.0644,1567.36,0.0090,2,0.1000,26,0.1429,1
2,2558,26480,0.0621,1567.36,0.0090,2,0.1000,28,0.4286,1
3,2558,24880,0.0583,1567.36,0.0090,2,0.1000,30,0.7143,1
4,2558,24000,0.0562,1567.36,0.0090,2,0.1000,30,0.7143,1
5,2558,29600,0.0696,1567.36,0.0090,2,0.1000,31,0.8571,1
6,2558,31600,0.0744,1567.36,0.0090,2,0.1000,30,0.7143,0
7,2558,27760,0.0652,1567.36,0.0090,2,0.1000,30,0.7143,0
8,2558,37200,0.0878,1567.36,0.0090,2,0.1000,30,0.7143,1
